Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,9.7,10,0,1,1,0,8.4,0.30,-1.6,-0.16,60,142,42.3,246,49,44.3,38.3,68,48.5,40.4,91,8,8.8,7,0.72,13.3,Matches
2,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,28.3,23,1,0,1,1,24.4,0.31,+2.4,+0.09,138,255,54.1,755,132,24.9,31.7,170,39.4,38.8,197,16,8.1,37,1.31,17.5,Matches
3,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,33.0,47,2,2,8,2,35.8,0.35,-9.2,-0.28,143,334,42.8,887,145,28.2,31.8,199,42.2,39.1,236,17,7.2,21,0.64,16.0,Matches
4,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,36,1983,3.9,7,0,0,0,0,4.2,0.28,-2.8,-0.73,19,47,40.4,104,13,27.9,31.5,28,64.3,48.2,35,3,8.6,1,0.26,12.4,Matches
5,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,37,1981,5.0,7,0,0,3,1,5.6,0.35,-0.4,-0.08,32,74,43.2,137,15,45.3,35.8,28,42.9,36.8,20,0,0.0,2,0.40,12.8,Matches
6,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,38.0,58,2,2,11,2,62.2,0.32,+6.2,+0.16,295,778,37.9,756,121,63.6,48.4,337,88.1,64.5,384,20,5.2,14,0.37,12.3,Matches
7,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,34.1,28,3,1,4,1,30.1,0.31,+3.1,+0.09,128,249,51.4,924,161,21.9,29.7,139,33.8,35.1,174,12,6.9,37,1.08,17.6,Matches
8,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,34,1985,23.5,34,3,1,2,2,31.4,0.29,-0.6,-0.02,220,506,43.5,478,90,68.8,49.8,194,91.2,63.9,241,10,4.1,5,0.21,11.6,Matches
9,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,30,1988,0.2,1,1,0,0,0,1.3,0.31,+0.3,+1.23,1,3,33.3,7,2,42.9,29.7,3,0.0,16.0,4,0,0.0,0,0.00,7.0,Matches
10,Ben Foster\Ben-Foster,eng ENG,GK,Watford,36,1983,38.0,64,8,3,7,3,59.7,0.32,-1.3,-0.04,323,976,33.1,911,122,77.4,54.3,292,92.8,67.6,366,37,10.1,42,1.11,15.6,Matches
11,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,27,1992,17.9,26,3,1,2,1,25.3,0.29,+0.3,+0.01,81,273,29.7,376,58,45.7,38.9,140,72.1,58.0,168,9,5.4,12,0.67,14.2,Matches
12,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,28,1990,38.0,36,3,1,8,1,37.7,0.29,+2.7,+0.07,120,311,38.6,669,148,33.8,34.3,265,32.1,34.0,288,15,5.2,11,0.29,13.4,Matches
13,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,32,1987,35.0,42,0,0,5,2,46.4,0.32,+6.4,+0.18,225,674,33.4,780,163,57.4,44.3,273,82.8,62.0,326,29,8.9,16,0.46,13.1,Matches
14,Angus Gunn\Angus-Gunn,eng ENG,GK,Southampton,23,1996,10.0,25,2,1,1,0,19.0,0.33,-6.0,-0.60,46,190,24.2,177,24,68.9,50.4,79,86.1,60.7,80,6,7.5,8,0.80,16.7,Matches
15,Tom Heaton\Tom-Heaton,eng ENG,GK,Aston Villa,33,1986,19.9,35,3,1,7,1,34.9,0.34,+0.9,+0.05,129,384,33.6,418,95,57.7,45.9,196,73.0,56.6,226,17,7.5,8,0.40,11.8,Matches
16,Dean Henderson\Dean-Henderson,eng ENG,GK,Sheffield Utd,22,1997,36.0,33,1,0,2,0,38.9,0.30,+5.9,+0.16,252,853,29.5,777,99,77.7,58.7,258,96.5,75.8,290,23,7.9,17,0.47,13.9,Matches
17,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,32,1987,3.0,8,0,1,2,0,6.6,0.30,-1.4,-0.48,31,88,35.2,64,6,82.8,56.2,39,89.7,67.2,35,3,8.6,1,0.33,14.7,Matches
18,Tim Krul\Tim-Krul,nl NED,GK,Norwich City,31,1988,36.0,68,3,1,13,3,64.1,0.32,-0.9,-0.03,260,733,35.5,1217,178,45.1,39.8,333,55.3,45.1,387,28,7.2,17,0.47,14.0,Matches
19,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,27,1992,29.4,39,6,0,6,0,46.3,0.28,+7.3,+0.25,90,320,28.1,739,174,28.1,31.9,251,44.6,40.1,273,18,6.6,18,0.61,13.7,Matches
20,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,32,1986,20.1,21,2,0,2,1,29.9,0.30,+9.9,+0.49,134,301,44.5,419,82,49.9,40.7,149,61.7,44.1,187,11,5.9,4,0.20,11.5,Matches
21,David Martin\David-Martin,eng ENG,GK,West Ham,33,1986,4.8,6,0,0,1,0,6.9,0.35,+0.9,+0.18,39,106,36.8,80,10,80.0,55.3,44,95.5,65.4,55,1,1.8,0,0.00,9.0,Matches
22,Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,Arsenal,26,1992,8.6,9,1,0,3,0,13.0,0.29,+4.0,+0.47,38,113,33.6,232,46,34.5,35.1,61,54.1,47.0,80,5,6.3,3,0.35,12.3,Matches
23,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,29,1989,28.0,35,1,0,4,1,41.4,0.37,+7.4,+0.26,197,556,35.4,638,74,63.9,48.0,177,83.6,61.4,259,20,7.7,14,0.50,14.7,Matches
24,Michael McGovern\Michael-McGovern,nir NIR,GK,Norwich City,35,1984,1.8,6,0,0,0,0,4.4,0.32,-1.6,-0.88,9,29,31.0,37,10,54.1,38.4,14,64.3,45.8,16,0,0.0,1,0.57,15.4,Matches
25,Simon Moore\Simon-Moore,eng ENG,GK,Sheffield Utd,29,1990,2.0,6,0,0,0,0,4.4,0.37,-1.6,-0.79,10,39,25.6,37,4,75.7,58.9,11,100.0,76.5,5,0,0.0,0,0.00,11.4,Matches
26,Ørjan Nyland\Orjan-Nyland,no NOR,GK,Aston Villa,28,1990,6.0,12,0,0,0,0,8.6,0.33,-3.4,-0.57,37,109,33.9,129,28,49.6,44.0,53,84.9,62.5,56,2,3.6,3,0.50,13.2,Matches
27,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,31,1988,38.0,40,1,1,7,1,36.7,0.29,-2.3,-0.06,282,583,48.4,580,124,59.7,44.6,282,84.0,55.7,350,15,4.3,8,0.21,12.4,Matches
28,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,25,1994,38.0,56,3,3,6,3,48.2,0.32,-4.8,-0.13,314,785,40.0,1100,179,55.7,45.8,273,63.0,53.4,318,25,7.9,23,0.61,14.7,Matches
29,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,27,1992,38.0,50,4,0,8,1,48.7,0.29,-0.3,-0.01,285,916,31.1,875,168,73.0,54.4,305,90.8,70.0,371,53,14.3,36,0.95,16.6,Matches
30,Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Bournemouth,21,1998,37.0,62,5,4,5,0,61.3,0.32,-0.7,-0.02,199,655,30.4,835,184,53.7,44.8,289,71.6,59.0,324,21,6.5,17,0.46,14.3,Matches
31,Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,32,1987,2.0,5,1,0,1,0,4.5,0.40,-0.5,-0.23,18,36,50.0,26,3,84.6,55.5,14,100.0,66.0,19,2,10.5,2,1.00,13.6,Matches
32,Pepe Reina\Pepe-Reina,es ESP,GK,Aston Villa,36,1982,12.0,20,2,0,3,0,17.8,0.32,-2.2,-0.18,113,229,49.3,302,47,54.3,42.4,93,69.9,49.3,110,7,6.4,8,0.67,15.3,Matches
33,Roberto\Roberto,es ESP,GK,West Ham,33,1986,7.6,17,1,1,3,1,17.2,0.33,+1.2,+0.16,49,167,29.3,192,26,67.2,49.0,40,95.0,66.0,59,3,5.1,5,0.66,13.1,Matches
34,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,27,1992,38.0,54,2,0,8,3,55.5,0.33,+4.5,+0.12,272,527,51.6,1188,232,33.8,33.8,274,45.6,38.7,313,24,7.7,19,0.50,14.0,Matches
35,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,32,1986,38.0,41,8,0,7,2,44.3,0.30,+5.3,+0.14,239,488,49.0,936,151,39.9,37.4,242,47.5,40.9,291,10,3.4,27,0.71,15.7,Matches
36,Jed Steer\Jed-Steer,eng ENG,GK,Aston Villa,26,1992,0.1,0,0,0,0,0,0.0,,0.0,0.00,0,1,0.0,1,0,0.0,26.0,1,100.0,70.0,0,0,,0,0.00,,Matches
37,Mark Travers\Mark-Travers,ie IRL,GK,Bournemouth,20,1999,1.0,3,0,0,0,0,2.1,0.41,-0.9,-0.94,7,13,53.8,24,5,33.3,34.5,8,62.5,45.4,7,0,0.0,0,0.00,14.9,Matches