Rk,Player,Nation,Pos,Squad,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Matches
1,Antonio Adán\Antonio-Adan,es ESP,GK,Atlético Madrid,1,0,24,0,0.00,1,1,1.000,0,0,0,0,,0,0,0,0,Matches
2,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,3,2,180,1,0.50,4,3,.750,1,1,0,1,50.0,0,0,0,0,Matches
3,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,7,7,630,9,1.29,32,24,.719,3,1,3,2,28.6,1,0,0,1,Matches
4,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Real Madrid,3,3,270,3,1.00,5,4,.400,3,0,0,1,33.3,2,2,0,0,Matches
5,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,16,16,1440,18,1.13,62,46,.710,8,2,6,6,37.5,2,2,0,0,Matches
6,Rubén Blanco\Ruben-Blanco,es ESP,GK,Celta Vigo,17,17,1530,28,1.65,74,47,.622,2,5,10,3,17.6,2,2,0,0,Matches
7,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,Valencia,14,14,1197,17,1.28,54,40,.685,7,4,3,3,21.4,6,4,2,0,Matches
8,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Real Madrid,16,16,1440,9,0.56,41,32,.780,8,7,1,9,56.3,0,0,0,0,Matches
9,Iván Cuéllar\Ivan-Cuellar,es ESP,GK,Leganés,12,12,1080,16,1.33,48,32,.667,3,3,6,2,16.7,0,0,0,0,Matches
10,Marko Dmitrović\Marko-Dmitrovic,rs SRB,GK,Eibar,19,19,1710,29,1.53,53,27,.453,5,4,10,5,26.3,3,2,1,0,Matches
11,Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,6,5,513,8,1.40,37,29,.784,1,3,1,1,20.0,0,0,0,0,Matches
12,Fabricio\Fabricio,es ESP,GK,Mallorca,2,1,90,3,3.00,5,3,.400,0,0,1,0,0.0,2,2,0,0,Matches
13,Aitor Fernández\Aitor-Fernandez,es ESP,GK,Levante,19,19,1710,28,1.47,108,80,.741,8,2,9,2,10.5,3,2,0,1,Matches
14,Andrés Fernández\Andres-Fernandez,es ESP,GK,Villarreal,3,3,270,8,2.67,14,10,.429,0,2,1,0,0.0,3,3,0,0,Matches
15,Sergio Herrera\Sergio-Herrera,es ESP,GK,Osasuna,5,4,431,9,1.88,32,22,.719,0,1,3,1,25.0,0,0,0,0,Matches
16,Iago Herrerín\Iago-Herrerin,es ESP,GK,Athletic Bilbao,1,1,90,1,1.00,3,2,.667,0,1,0,0,0.0,0,0,0,0,Matches
17,Diego López\Diego-Lopez,es ESP,GK,Espanyol,19,19,1710,36,1.89,83,50,.566,2,5,12,2,10.5,3,3,0,0,Matches
18,Daniel Martín\Daniel-Martin,es ESP,GK,Betis,2,1,170,7,3.71,10,3,.300,0,0,1,0,0.0,0,0,0,0,Matches
19,Jordi Masip\Jordi-Masip,es ESP,GK,Valladolid,19,19,1710,23,1.21,74,54,.689,4,9,6,6,31.6,3,3,0,0,Matches
20,Neto\Neto,br BRA,GK,Barcelona,1,1,90,2,2.00,3,1,.333,0,1,0,0,0.0,0,0,0,0,Matches
21,Jan Oblak\Jan-Oblak,si SVN,GK,Atlético Madrid,19,19,1686,12,0.64,48,35,.750,9,8,2,9,47.4,1,0,0,1,Matches
22,Fernando Pacheco\Fernando-Pacheco,es ESP,GK,Alavés,16,16,1440,26,1.62,58,36,.552,4,4,8,5,31.3,8,6,2,0,Matches
23,Juan Pérez\Juan-Perez,es ESP,GK,Osasuna,2,2,180,3,1.50,8,6,.625,1,1,0,0,0.0,1,1,0,0,Matches
24,Manolo Reina\Manolo-Reina,es ESP,GK,Mallorca,18,18,1620,30,1.67,84,61,.643,4,3,11,3,16.7,8,7,1,0,Matches
25,Álex Remiro\Alex-Remiro,es ESP,GK,Real Sociedad,12,12,1080,16,1.33,44,29,.636,6,3,3,3,25.0,1,1,0,0,Matches
26,Joel Robles\Joel-Robles,es ESP,GK,Betis,18,18,1537,25,1.46,72,52,.653,6,6,6,2,11.1,6,6,0,0,Matches
27,Rubén\Ruben,es ESP,GK,Osasuna,13,13,1099,13,1.06,30,19,.567,4,7,2,4,30.8,3,3,0,0,Matches
28,Rui Silva\Rui-Silva,pt POR,GK,Granada,19,19,1710,25,1.32,82,58,.695,8,3,8,8,42.1,2,2,0,0,Matches
29,Unai Simón\Unai-Simon,es ESP,GK,Athletic Bilbao,18,18,1620,12,0.67,56,44,.786,7,7,4,9,50.0,1,0,0,1,Matches
30,Antonio Sivera\Antonio-Sivera,es ESP,GK,Alavés,3,3,270,3,1.00,4,2,.250,1,1,1,1,33.3,1,1,0,0,Matches
31,David Soria\David-Soria,es ESP,GK,Getafe,19,19,1710,20,1.05,60,40,.667,8,6,5,6,31.6,2,1,1,0,Matches
32,Juan Soriano\Juan-Soriano,es ESP,GK,Leganés,7,7,630,12,1.71,25,17,.520,0,2,5,0,0.0,5,5,0,0,Matches
33,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,Barcelona,18,18,1620,21,1.17,54,36,.611,12,3,3,5,27.8,3,3,0,0,Matches
34,Tomáš Vaclík\Tomas-Vaclik,cz CZE,GK,Sevilla,19,19,1710,18,0.95,54,37,.667,10,5,4,8,42.1,2,1,1,0,Matches